0	1	0.0065	0
3.33333	0.99	0.01	0
5	0.8	0.18	0
8.33333	0.5	0.48	0
14.16667	0.35	0.6	0
18.33333	0.22	0.79	6E-4
22.5	0.2	0.8	0
28.33333	0.15	0.85	0.0035
33.33333	0.04	0.92	0.005
43.33333	0.012	0.94	0.008
48.33333	0.013	0.95	0.01
58.33333	0.0035	0.96	0.013
63.33333	0.003	0.95	0.017
73.33333	0.005	0.95	0.018
83.33333	6.5E-4	0.96	0.02
88.33333	4E-4	0.96	0.018
103.33333	1.5E-4	0.95	0.016
111.66667	6.5E-4	0.95	0.022
120	2E-5	0.95	0.021
